Category,CategroyDescription,Parameter,ParameterDescription,Type
продукт подписка плюс,сервис периодических подписок для клиента с предложением особых условий продуктов и услуг точки,статус продукта в текущем месяце,"подключен/действует - есть хотя бы 1 открытый контракт в статусе ""Новый"" или ""Действует"", закрыт в последние 3 мес - если все контракты по продукту со статусом ""Закрыт"" и максимальная дата закрытия контракта в рамках последних 3 месяцев, закрыт >3 мес назад - если все контракты по продукту со статусом ""Закрыт"" и максимальная дата закрытия контракта более 3 месяцев назад, не был подключен - в остальных случаях",string
продукт: сбп qr,"возможность принимать платежи по qr коду. клиент распечатывает qr код, его контрагент сканирует и оплачивает",продукт работающий,"средняя сумма операций в день (в рамках текущего месяца) больше 100 ₽ или количество операций за день по сбп больше или равно 5. если в месяце есть хотя бы один рабочий день, то и месяц считается рабочим.",string
продукт: интернет-эквайринг (точка),"даёт возможность клиентам, продающим в интернете принимать оплаты картами или через qr коды сбп",статус продукта в текущем месяце,"подключен/действует - есть хотя бы 1 открытый контракт в статусе ""Новый"" или ""Действует"", закрыт в последние 3 мес - если все контракты по продукту со статусом ""Закрыт"" и максимальная дата закрытия контракта в рамках последних 3 месяцев, закрыт >3 мес назад - если все контракты по продукту со статусом ""Закрыт"" и максимальная дата закрытия контракта более 3 месяцев назад, не был подключен - в остальных случаях",string
продукт: интернет-эквайринг (точка),"даёт возможность клиентам, продающим в интернете принимать оплаты картами или через qr коды сбп",признак первого подключения продукта,"рассчитывается за всю последнюю жизнь клиента, показывает, является ли текущее подключение этого продукта первым в жизни: имеется всего 1 контракт за всю жизнь клиента или статус = ""Новый"". да - контракт единственный и в статусе ""Новый"", нет - в текущем месяце статус контракта ""Действует"" или контрактов больше 1, закрыт или не подключал - все контракты в статусе ""Закрыт"" или клиент никогда не пользовался продуктом",string
отрасль и стадия развития бизнеса,отрасль и стадия развития бизнеса,является актуальным селлером,"true - есть выручка от МП по парсингу МПстатс или на счёт в ТБ за последние 3 месяца, включая текущий",boolean
продукт: интернет-эквайринг (точка),"даёт возможность клиентам, продающим в интернете принимать оплаты картами или через qr коды сбп",продукт работающий,"на расчётный счёт клиента стали поступать возмещение по эквайрингу. проверяется следующим sql запросом к stage.acquiring_internet_claims (join datamart.bank_payments ) где partner = 'twpg' --проверяем, что клиент подавал заявку на наш иэ и contractor_bal = '30232-12'"",   ""category_id"": 29,",string
продукт торговый дом вэд,сервис для ведения внешней экономической деятельности,статус продукта в текущем месяце,"подключен/действует - есть хотя бы 1 открытый контракт в статусе ""Новый"" или ""Действует"", закрыт в последние 3 мес - если все контракты по продукту со статусом ""Закрыт"" и максимальная дата закрытия контракта в рамках последних 3 месяцев, закрыт >3 мес назад - если все контракты по продукту со статусом ""Закрыт"" и максимальная дата закрытия контракта более 3 месяцев назад, не был подключен - в остальных случаях",string
продукт: платный документооборот,"сервис для работы с документооборотом, платные тарифы",статус продукта в текущем месяце,"подключен/действует - есть хотя бы 1 открытый контракт в статусе ""Новый"" или ""Действует"", закрыт в последние 3 мес - если все контракты по продукту со статусом ""Закрыт"" и максимальная дата закрытия контракта в рамках последних 3 месяцев, закрыт >3 мес назад - если все контракты по продукту со статусом ""Закрыт"" и максимальная дата закрытия контракта более 3 месяцев назад, не был подключен - в остальных случаях",string
продукт: платный документооборот,"сервис для работы с документооборотом, платные тарифы",период использования продукта,"кол-во дней, в рамках периода активности всех контрактов по клиенту / 30 (грубо берем месяц = 30 дней). группы по периоду пользования: 1-3 месяца, 4-6 месяцев, 6-12 месяцев, 1-2 года, более 2 лет, нет данных - если клиент не пользовался продуктом",string
продукт: платный документооборот,"сервис для работы с документооборотом, платные тарифы",признак первого подключения продукта,"рассчитывается за всю последнюю жизнь клиента, показывает, является ли текущее подключение этого продукта первым в жизни: имеется всего 1 контракт за всю жизнь клиента или статус = ""Новый"". да - контракт единственный и в статусе ""Новый"", нет - в текущем месяце статус контракта ""Действует"" или контрактов больше 1, закрыт или не подключал - все контракты в статусе ""Закрыт"" или клиент никогда не пользовался продуктом",string
продукт: платный документооборот,"сервис для работы с документооборотом, платные тарифы",продукт работающий,"оплатил тариф/купил доп пакет/подписал кэпом документы/подписал нэпом документы/создавал акт сверки/создал документ, скачал документы или протоколы подписания, аннулировал документ, расшарил,  поменял статус оплаты документа.",string
продукт корпоративная карта (покупки),"для ип корп карта = карта физ лица. ип могут оплачивать как покупки связанные с бизнесом и нужные учитывать в расходах, так и личные покупки, в таком случае траты не включаются в расходы.\nдля юл карта это инструмент оплаты нужд бизнеса. подотчётные средства, командировочные расходы, канцелярия и хозтовары для офиса и т.д.",статус продукта в текущем месяце,"подключен/действует - есть хотя бы 1 открытый контракт в статусе ""Новый"" или ""Действует"", закрыт в последние 3 мес - если все контракты по продукту со статусом ""Закрыт"" и максимальная дата закрытия контракта в рамках последних 3 месяцев, закрыт >3 мес назад - если все контракты по продукту со статусом ""Закрыт"" и максимальная дата закрытия контракта более 3 месяцев назад, не был подключен - в остальных случаях",string
продукт: платный документооборот,"сервис для работы с документооборотом, платные тарифы",нельзя предлагать продукт клиенту,"признаки из таблицы new_triangles_team.temp_triangles_dwh , что конкретному клиенту нельзя предлагать продукт Платный документооборот: 1 - нельзя предлагать, 0 - нет ограничений на продвижение",boolean
селлеры,признаки сегмента селлеры,есть платная подписка на единый кабинет селлера,"Признак покупки платной подписки в ЕК. Значение 1 означает, что покупка подписки найдена. Значение 0 означает, что покупка не найдена.",boolean
Базовый административный профиль,Юридические и регистрационные данные компании.,адрес в приграничном регионе россии с украиной,"true - клиент имеет связь с приграничными регионами: Курской, Белгородской или Брянской областями, они упоминаются хотя бы в одном из адресов: место жительства, юридический, регистрирующих органов, для корреспонденций, место регистрации, фактический, место работы, иной (исключается только адрес места рождения))",boolean
селлеры,признаки сегмента селлеры,количество маркетов,"Количество маркетплейсов, от которых у клиента были поступления на счёт в банке за последний месяц",integer
продукт корпоративная карта (покупки),"для ип корп карта = карта физ лица. ип могут оплачивать как покупки связанные с бизнесом и нужные учитывать в расходах, так и личные покупки, в таком случае траты не включаются в расходы.\nдля юл карта это инструмент оплаты нужд бизнеса. подотчётные средства, командировочные расходы, канцелярия и хозтовары для офиса и т.д.",период использования продукта,"кол-во дней между датой начала первого контракта и датой окончания последнего (либо сегодняшней датой, если есть активный контракт) / 30 (грубо берем месяц = 30 дней). группы по периоду пользования: 1-3 месяца, 4-6 месяцев, 6-12 месяцев, 1-2 года, более 2 лет, нет данных - если клиент не пользовался продуктом",string
продукт корпоративная карта (покупки),"для ип корп карта = карта физ лица. ип могут оплачивать как покупки связанные с бизнесом и нужные учитывать в расходах, так и личные покупки, в таком случае траты не включаются в расходы.\nдля юл карта это инструмент оплаты нужд бизнеса. подотчётные средства, командировочные расходы, канцелярия и хозтовары для офиса и т.д.",признак первого подключения продукта,"рассчитывается за всю последнюю жизнь клиента, показывает, является ли текущее подключение этого продукта первым в жизни: имеется всего 1 контракт за всю жизнь клиента или статус = ""Новый"". да - контракт единственный и в статусе ""Новый"", нет - в текущем месяце статус контракта ""Действует"" или контрактов больше 1, закрыт или не подключал - все контракты в статусе ""Закрыт"" или клиент никогда не пользовался продуктом",string
продукт корпоративная карта (покупки),"для ип корп карта = карта физ лица. ип могут оплачивать как покупки связанные с бизнесом и нужные учитывать в расходах, так и личные покупки, в таком случае траты не включаются в расходы.\nдля юл карта это инструмент оплаты нужд бизнеса. подотчётные средства, командировочные расходы, канцелярия и хозтовары для офиса и т.д.",нельзя предлагать продукт клиенту,"признаки из таблицы new_triangles_team.temp_triangles_dwh , что конкретному клиенту нельзя предлагать продукт Корпоративная карта (покупки): 1 - нельзя предлагать, 0 - нет ограничений на продвижение",string
селлеры,признаки сегмента селлеры,Количество карточек Ozon,Количество карточек/товаров клиента на Ozon по данным парсинга,integer
отрасль и стадия развития бизнеса,отрасль и стадия развития бизнеса,оквэд: текущий подсегмент розницы,текущий подсегмент розницы по основному оквэд. null - основной оквэд не относится к рознице,string
отрасль и стадия развития бизнеса,отрасль и стадия развития бизнеса,Анкета МКС: вид деятельности,"Вид деятельности клиента, определённый экспертной оценкой от МКС на входе клиента (ОРС с декабря 2024). Это первый уровень детализации, более обобщённый.",string
Активность и вовлеченность,"Как часто и насколько активно человек работает с конкретной компанией в банке, какие действия совершает",Статус welcome pack'а,"Прогресс клиентов по выбору скидок в рамках шага онбординга ""welcome - пак"". Собираем данные по клиентам, пришедшим на ОРС за последние 60 дней.",string
Формальная роль и полномочия,"Юридически закрепленная роль в компании (владелец, директор, бухгалтер) и права подписи.",название роли,наименование роли согласно источнику Уполномоченные лица,string
Формальная роль и полномочия,"Юридически закрепленная роль в компании (владелец, директор, бухгалтер) и права подписи.",право подписи,право подписи согласно источнику Уполномоченные лица,string
Системные признаки событий,,Время события,Время события,date
Системные признаки событий,,Тип события,Тип события,string
Социально-демографический блок,"Базовые социальные и демографические данные человека: пол, возраст, регион и тд",пол,"пол физлица, если он известен. для пользователей экосистемы не определяется.",string
Социально-демографический блок,"Базовые социальные и демографические данные человека: пол, возраст, регион и тд",резидент рф,если физ. лицо является резидентов рф - true. не является - false. не известно - null.,boolean
Социально-демографический блок,"Базовые социальные и демографические данные человека: пол, возраст, регион и тд",дней до следующего дня рождения,"количество дней до следующего дня рождения физ. лица. если дата рождения не известна, то значение null.",integer
Структура портфеля ФЛ,"Сводные показатели по всем компаниям человека: общее количество, совокупный оборот, как связаны компании человека между собой, кем он является в холдинге",количество связей с компаниями в точке,"количество компаний с открытым счётом в банке точка, в которых физ. лицо имеет хотя бы одну роль.",string
Структура портфеля ФЛ,"Сводные показатели по всем компаниям человека: общее количество, совокупный оборот, как связаны компании человека между собой, кем он является в холдинге",состав ролей фл,"топ самых популярных сочетаний ролей одного фл в разных компаниях. если фл имеет несколько ролей в одной компании, то выбирается самая высокая.",string
Поведенческие паттерны,"Глубинные поведенческие характеристики: инновационность, лояльность, диджитальность, паттерны по времени работы",дней с последней сессии,дней с последней сессии	по группам.,string
Поведенческие паттерны,"Глубинные поведенческие характеристики: инновационность, лояльность, диджитальность, паттерны по времени работы",частота посещений иб,частота посещения иб по количеству дней за последние 3 месяца.,string
Социально-демографический блок,"Базовые социальные и демографические данные человека: пол, возраст, регион и тд",возраст физ. лица,"количество полных лет, если известна дата рождения. для пользователей экосистемы таких данных нет. есть пустые значения.",integer
Коммуникационные предпочтения,"Как, когда и через какие каналы лучше всего общаться с человеком, склонен ли к обращениям в поддержку",уровень прочтения коммуникаций в неделю,"средненедельный уровень (группа по %) прочтения полученных коммерческих коммуникаций за 3 мес без разбивки по каналам (только те каналы, где можем спилить открытие/прочтение)",string
Социально-демографический блок,"Базовые социальные и демографические данные человека: пол, возраст, регион и тд",возрастная группа,возрастная группа физ.лица.,string
Коммуникационные предпочтения,"Как, когда и через какие каналы лучше всего общаться с человеком, склонен ли к обращениям в поддержку",объем коммуникаций в неделю,средненедельный объем полученных коммерческих коммуникаций за 3 мес без разбивки по каналам,string
Поведенческие паттерны,"Глубинные поведенческие характеристики: инновационность, лояльность, диджитальность, паттерны по времени работы",предпочитаемое устройство,"устройство входа: не ходит - за последние 3 месяца сессий не было; только мобилка - за последние 3 месяца сессий в мобилке было более 95% от общего количества сессий; чаще мобилка - за последние 3 месяца сессий в мобилке было более 65% от общего количества сессий; и мобилка и веб - за последние 3 месяца сессий в мобилке и вебе было было примерно одинаковое количество, по 50% +- 15%; чаще веб  - за последние 3 месяца сессий в вебе было более 65% от общего количества сессий; только веб - за последние 3 месяца сессий в вебе было более 95% от общего количества сессий",string
